Mls.MLS Freq	Mls.Ch.1 Ampl 	Mls.Ch.1 Phase
Source 1	Data 1	Data 2
Hz	dBV	deg
20	-55.14156573	5.756835938
20.2721979	-55.14156573	5.756835938
20.54810038	-55.14156573	5.756835938
20.82775787	-55.14156573	5.756835938
21.11122146	-55.14156573	5.756835938
21.39854297	-54.74882639	5.9765625
21.68977489	-54.74882639	5.9765625
21.98497044	-54.74882639	5.9765625
22.28418358	-54.74882639	5.9765625
22.58746898	-54.74882639	5.9765625
22.89488205	-54.30663091	6.064453125
23.20647899	-54.30663091	6.064453125
23.52231673	-54.30663091	6.064453125
23.84245299	-54.30663091	6.064453125
24.16694627	-54.30663091	6.064453125
24.49585587	-53.88288741	6.284179688
24.82924189	-53.88288741	6.284179688
25.16716526	-53.88288741	6.284179688
25.50968773	-53.88288741	6.284179688
25.8568719	-53.42619608	6.284179688
26.20878121	-53.42619608	6.284179688
26.56547997	-53.42619608	6.284179688
26.92703336	-53.42619608	6.284179688
27.29350745	-52.97394098	6.372070313
27.66496922	-52.97394098	6.372070313
28.04148654	-52.97394098	6.372070313
28.42312823	-52.97394098	6.372070313
28.80996401	-52.50008055	6.284179688
29.2020646	-52.50008055	6.284179688
29.59950163	-52.50008055	6.284179688
30.00234773	-52.50008055	6.284179688
30.41067653	-52.03110686	6.240234375
30.82456264	-52.03110686	6.240234375
31.2440817	-52.03110686	6.240234375
31.66931037	-51.551948	6.064453125
32.10032635	-51.551948	6.064453125
32.53720842	-51.551948	6.064453125
32.9800364	-51.08025075	5.932617188
33.42889123	-51.08025075	5.932617188
33.88385493	-51.08025075	5.932617188
34.34501063	-51.08025075	5.932617188
34.81244262	-50.59420962	5.625
35.2862363	-50.59420962	5.625
35.76647827	-50.59420962	5.625
36.25325628	-50.11818235	5.405273438
36.74665928	-50.11818235	5.405273438
37.24677745	-50.11818235	5.405273438
37.75370218	-49.63349755	5.009765625
38.2675261	-49.63349755	5.009765625
38.78834311	-49.63349755	5.009765625
39.31624838	-49.15582439	4.658203125
39.85133838	-49.15582439	4.658203125
40.39371091	-48.68275996	4.21875
40.94346507	-48.68275996	4.21875
41.50070133	-48.68275996	4.21875
42.06552151	-48.2114289	3.735351563
42.63802883	-48.2114289	3.735351563
43.21832792	-47.74081634	3.251953125
43.80652482	-47.74081634	3.251953125
44.40272702	-47.74081634	3.251953125
45.00704347	-47.27713578	2.724609375
45.6195846	-47.27713578	2.724609375
46.24046235	-46.81670799	2.065429688
46.86979018	-46.81670799	2.065429688
47.5076831	-46.81670799	2.065429688
48.15425767	-46.36433465	1.494140625
48.80963206	-46.36433465	1.494140625
49.47392602	-45.91494198	0.791015625
50.14726095	-45.91494198	0.791015625
50.8297599	-45.47585115	0.131835938
51.52154759	-45.47585115	0.131835938
52.22275044	-45.03823301	-0.615234375
52.93349658	-45.03823301	-0.615234375
53.65391591	-44.61125393	-1.318359375
54.38414006	-44.61125393	-1.318359375
55.12430249	-44.18964227	-2.109375
55.87453845	-44.18964227	-2.109375
