//single phase coef Number:=16,    upsample factor:=160,     downsample factor:=147
  -68, -322,  763, -560,  487,  688,-3626,25543,13492,-5393, 2841,-1192,  553,  196, -269,  -12,
  -66, -323,  756, -541,  451,  748,-3718,25405,13713,-5421, 2835,-1178,  540,  205, -271,  -13,
  -65, -324,  748, -522,  415,  808,-3807,25264,13934,-5448, 2828,-1164,  526,  214, -273,  -13,
  -64, -325,  741, -503,  380,  867,-3895,25120,14155,-5474, 2821,-1149,  512,  223, -275,  -13,
  -62, -326,  733, -483,  344,  925,-3980,24975,14375,-5498, 2812,-1134,  499,  233, -277,  -14,
  -61, -327,  726, -464,  309,  982,-4064,24827,14595,-5520, 2803,-1119,  484,  242, -279,  -14,
  -60, -327,  718, -444,  273, 1039,-4145,24677,14815,-5541, 2793,-1103,  470,  251, -281,  -15,
  -58, -328,  710, -425,  238, 1095,-4224,24524,15035,-5561, 2782,-1086,  455,  261, -283,  -15,
  -57, -328,  702, -406,  203, 1151,-4300,24370,15254,-5578, 2769,-1069,  441,  270, -285,  -16,
  -56, -329,  694, -386,  169, 1205,-4375,24213,15472,-5594, 2756,-1051,  426,  279, -287,  -16,
  -54, -329,  686, -367,  134, 1259,-4447,24054,15690,-5609, 2742,-1034,  411,  289, -289,  -17,
  -53, -329,  678, -347,  100, 1312,-4518,23893,15908,-5622, 2727,-1015,  395,  298, -291,  -18,
  -52, -329,  670, -328,   66, 1364,-4586,23730,16125,-5633, 2712, -996,  380,  308, -293,  -18,
  -51, -329,  661, -308,   32, 1416,-4652,23565,16341,-5642, 2695, -977,  364,  317, -294,  -19,
  -50, -330,  653, -288,   -1, 1466,-4715,23398,16557,-5650, 2677, -957,  348,  327, -296,  -19,
  -49, -330,  644, -269,  -34, 1516,-4777,23229,16772,-5656, 2658, -937,  332,  337, -298,  -20,
  -47, -329,  636, -250,  -67, 1565,-4836,23058,16986,-5660, 2639, -916,  316,  346, -300,  -21,
  -46, -329,  627, -230, -100, 1613,-4894,22885,17200,-5662, 2618, -895,  300,  356, -301,  -21,
  -45, -329,  618, -211, -132, 1660,-4949,22710,17413,-5663, 2596, -873,  283,  365, -303,  -22,
  -44, -329,  609, -191, -164, 1707,-5002,22534,17625,-5662, 2574, -851,  267,  375, -304,  -22,
  -43, -328,  600, -172, -196, 1752,-5053,22355,17835,-5659, 2551, -828,  250,  385, -306,  -23,
  -42, -328,  591, -153, -228, 1797,-5102,22175,18046,-5654, 2526, -805,  233,  394, -307,  -24,
  -41, -328,  582, -133, -259, 1841,-5148,21993,18255,-5647, 2501, -782,  216,  404, -309,  -25,
  -40, -327,  573, -114, -290, 1884,-5193,21810,18463,-5639, 2474, -758,  198,  413, -310,  -25,
  -39, -327,  564,  -95, -320, 1926,-5235,21625,18670,-5628, 2447, -733,  181,  423, -312,  -26,
  -38, -326,  555,  -76, -350, 1967,-5276,21438,18876,-5616, 2419, -709,  163,  433, -313,  -27,
  -37, -325,  546,  -57, -380, 2007,-5314,21249,19081,-5602, 2390, -683,  145,  442, -314,  -28,
  -36, -324,  537,  -38, -410, 2047,-5350,21059,19284,-5585, 2360, -658,  128,  452, -315,  -28,
  -35, -324,  527,  -19, -439, 2085,-5384,20867,19487,-5567, 2329, -632,  110,  461, -317,  -29,
  -34, -323,  518,   -1, -467, 2123,-5417,20674,19688,-5547, 2297, -605,   92,  471, -318,  -30,
  -33, -322,  509,   18, -496, 2159,-5447,20480,19888,-5525, 2264, -579,   73,  480, -319,  -31,
  -32, -321,  499,   37, -524, 2195,-5475,20284,20087,-5501, 2230, -551,   55,  490, -320,  -32,
  -32, -320,  490,   55, -551, 2230,-5501,20087,20284,-5475, 2195, -524,   37,  499, -321,  -32,
  -31, -319,  480,   73, -579, 2264,-5525,19888,20480,-5447, 2159, -496,   18,  509, -322,  -33,
  -30, -318,  471,   92, -605, 2297,-5547,19688,20674,-5417, 2123, -467,   -1,  518, -323,  -34,
  -29, -317,  461,  110, -632, 2329,-5567,19487,20867,-5384, 2085, -439,  -19,  527, -324,  -35,
  -28, -315,  452,  128, -658, 2360,-5585,19284,21059,-5350, 2047, -410,  -38,  537, -324,  -36,
